zone,inclination,orientation,irradiance
1,40,25,966
1,40,30,957
1,40,35,947
1,40,40,936
1,40,45,924
1,40,50,910
1,40,55,895
1,40,60,879
1,40,65,863
1,40,70,845
1,40,75,827
1,40,80,808
1,40,85,788
1,40,90,768
1,40,95,748
1,40,100,727
1,40,105,707
1,40,110,686
1,40,115,665
1,40,120,645
1,40,125,625
1,40,130,606
1,40,135,587
1,40,140,570
1,40,145,554
1,40,150,539
1,40,155,527
1,40,160,517
1,40,165,510
1,40,170,505
1,40,175,501
1,41,0,984
1,41,5,984
1,41,10,981
1,41,15,977
1,41,20,972
1,41,25,965
1,41,30,956
1,41,35,946
1,41,40,935
1,41,45,922
1,41,50,909
1,41,55,894
1,41,60,878
1,41,65,861
1,41,70,843
1,41,75,824
1,41,80,805
1,41,85,785
1,41,90,765
1,41,95,745
1,41,100,724
1,41,105,703
1,41,110,682
1,41,115,661
1,41,120,640
1,41,125,620
1,41,130,601
1,41,135,582
1,41,140,564
1,41,145,547
1,41,150,533
1,41,155,520
1,41,160,510
1,41,165,502
1,41,170,497
1,41,175,494
1,42,0,984
1,42,5,983
1,42,10,981
1,42,15,977
1,42,20,971
1,42,25,964
1,42,30,955
1,42,35,945
1,42,40,934
1,42,45,921
1,42,50,907
1,42,55,892
1,42,60,876
1,42,65,858
1,42,70,841
1,42,75,822
1,42,80,802
1,42,85,782
1,42,90,762
1,42,95,741
1,42,100,720
1,42,105,699
1,42,110,677
1,42,115,656
1,42,120,635
1,42,125,615
1,42,130,595
1,42,135,576
1,42,140,558
1,42,145,541
1,42,150,526
1,42,155,513
1,42,160,503
1,42,165,495
1,42,170,489
1,42,175,486
1,43,0,983
1,43,5,982
1,43,10,980
1,43,15,976
1,43,20,970
1,43,25,963
1,43,30,954
1,43,35,944
1,43,40,932
1,43,45,919
1,43,50,905
1,43,55,890
1,43,60,873
1,43,65,856
1,43,70,838
1,43,75,819
1,43,80,799
1,43,85,779
1,43,90,758
1,43,95,738
1,43,100,716
1,43,105,695
1,43,110,673
1,43,115,652
1,43,120,631
1,43,125,610
1,43,130,590
1,43,135,571
1,43,140,552
1,43,145,535
1,43,150,520
1,43,155,507
1,43,160,496
1,43,165,488
1,43,170,482
1,43,175,479
1,44,0,982
1,44,5,981
1,44,10,979
1,44,15,975
1,44,20,969
1,44,25,962
1,44,30,953
1,44,35,943
1,44,40,931
1,44,45,918
1,44,50,903
1,44,55,888
1,44,60,871
1,44,65,854
1,44,70,835
1,44,75,816
1,44,80,796
1,44,85,776
1,44,90,755
1,44,95,734
1,44,100,712
1,44,105,690
1,44,110,669
1,44,115,647
1,44,120,626
1,44,125,605
1,44,130,585
1,44,135,565
1,44,140,547
1,44,145,529
1,44,150,513
1,44,155,500
1,44,160,489
1,44,165,480
1,44,170,474
1,44,175,471
1,45,0,980
1,45,5,980
1,45,10,977
1,45,15,973
1,45,20,967
1,45,25,960
1,45,30,951
1,45,35,941
1,45,40,929
1,45,45,916
1,45,50,901
1,45,55,886
1,45,60,869
1,45,65,851
1,45,70,833
1,45,75,813
1,45,80,793
1,45,85,773
1,45,90,751
1,45,95,730
1,45,100,708
1,45,105,686
1,45,110,664
1,45,115,642
1,45,120,621
1,45,125,600
1,45,130,579
1,45,135,560
1,45,140,541
1,45,145,523
1,45,150,507
1,45,155,493
1,45,160,482
1,45,165,473
1,45,170,467
1,45,175,463
1,46,0,979
1,46,5,978
1,46,10,976
1,46,15,971
1,46,20,966
1,46,25,958
1,46,30,949
1,46,35,939
1,46,40,927
1,46,45,914
1,46,50,899
1,46,55,883
1,46,60,866
1,46,65,848
1,46,70,830
1,46,75,810
1,46,80,790
1,46,85,769
1,46,90,748
1,46,95,726
1,46,100,704
1,46,105,682
1,46,110,660
1,46,115,638
1,46,120,616
1,46,125,595
1,46,130,574
1,46,135,554
1,46,140,535
1,46,145,517
1,46,150,501
1,46,155,486
1,46,160,475
1,46,165,466
1,46,170,460
1,46,175,456
1,47,0,977
1,47,5,976
1,47,10,974
1,47,15,970
1,47,20,964
1,47,25,956
1,47,30,947
1,47,35,937
1,47,40,925
1,47,45,911
1,47,50,896
1,47,55,880
1,47,60,863
1,47,65,845
1,47,70,826
1,47,75,807
1,47,80,786
1,47,85,765
1,47,90,744
1,47,95,722
1,47,100,700
1,47,105,678
1,47,110,655
1,47,115,633
1,47,120,611
1,47,125,590
1,47,130,569
1,47,135,549
1,47,140,529
1,47,145,511
1,47,150,494
1,47,155,480
1,47,160,468
1,47,165,459
1,47,170,453
1,47,175,448
1,48,0,975
1,48,5,974
1,48,10,972
1,48,15,967
1,48,20,962
1,48,25,954
1,48,30,945
1,48,35,934
1,48,40,922
